year,type,industry,請求件数,決定件数,支給決定件数
2021,精神疾患,金融業，保険業,73,65,13
2021,精神疾患,教育，学習支援業,89,75,20
2021,精神疾患,医療，福祉,577,465,142
2021,精神疾患,情報通信業,105,109,27
2021,精神疾患,宿泊業，飲食サービス業,86,76,39
2021,精神疾患,サービス業 (ほかに分類されないもの),167,116,34
2021,精神疾患,その他,277,209,62
2022,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,9,6,2
2022,脳・心臓疾患,製造業,72,41,14
2022,脳・心臓疾患,建設業,93,69,30
2022,脳・心臓疾患,運輸業，郵便業,172,111,56
2022,脳・心臓疾患,卸売業，小売業,116,78,26
2022,脳・心臓疾患,金融業，保険業,2,1,0
2022,脳・心臓疾患,教育，学習支援業,15,14,7
2022,脳・心臓疾患,医療，福祉,77,62,14
2022,脳・心臓疾患,情報通信業,19,14,6
2022,脳・心臓疾患,宿泊業，飲食サービス業,56,29,19
2022,脳・心臓疾患,サービス業 (ほかに分類されないもの),111,54,12
2022,脳・心臓疾患,その他,61,30,8
2022,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,35,21,12
2022,精神疾患,製造業,392,301,104
2022,精神疾患,建設業,158,98,53
2022,精神疾患,運輸業，郵便業,246,150,63
2022,精神疾患,卸売業，小売業,383,282,100
2022,精神疾患,金融業，保険業,76,66,17
2022,精神疾患,教育，学習支援業,84,65,23
2022,精神疾患,医療，福祉,624,474,164
2022,精神疾患,情報通信業,118,90,32
2022,精神疾患,宿泊業，飲食サービス業,133,93,42
2022,精神疾患,サービス業 (ほかに分類されないもの),170,114,31
2022,精神疾患,その他,264,232,69
2023,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,13,11,5
2023,脳・心臓疾患,製造業,89,64,16
2023,脳・心臓疾患,建設業,123,75,23
2023,脳・心臓疾患,運輸業，郵便業,244,159,75
2023,脳・心臓疾患,卸売業，小売業,135,88,29
2023,脳・心臓疾患,金融業，保険業,9,3,0
2023,脳・心臓疾患,教育，学習支援業,22,11,5
2023,脳・心臓疾患,医療，福祉,95,59,10
2023,脳・心臓疾患,情報通信業,23,20,4
2023,脳・心臓疾患,宿泊業，飲食サービス業,73,51,25
2023,脳・心臓疾患,サービス業 (ほかに分類されないもの),119,82,17
2023,脳・心臓疾患,その他,78,44,7
2023,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,18,27,10
2023,精神疾患,製造業,499,414,121
2023,精神疾患,建設業,194,154,82
2023,精神疾患,運輸業，郵便業,311,255,101
2023,精神疾患,卸売業，小売業,491,355,103
2023,精神疾患,金融業，保険業,70,58,12
2023,精神疾患,教育，学習支援業,137,87,22
2023,精神疾患,医療，福祉,887,627,219
2023,精神疾患,情報通信業,160,76,25
2023,精神疾患,宿泊業，飲食サービス業,181,117,49
2023,精神疾患,サービス業 (ほかに分類されないもの),258,169,48
2023,精神疾患,その他,369,244,91
2024,脳・心臓疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,21,10,5
2024,脳・心臓疾患,製造業,100,81,24
2024,脳・心臓疾患,建設業,128,81,16
2024,脳・心臓疾患,運輸業，郵便業,213,193,88
2024,脳・心臓疾患,卸売業，小売業,150,94,20
2024,脳・心臓疾患,金融業，保険業,9,4,1
2024,脳・心臓疾患,教育，学習支援業,22,16,2
2024,脳・心臓疾患,医療，福祉,97,70,10
2024,脳・心臓疾患,情報通信業,29,24,6
2024,脳・心臓疾患,宿泊業，飲食サービス業,66,61,28
2024,脳・心臓疾患,サービス業 (ほかに分類されないもの),117,88,19
2024,脳・心臓疾患,その他,78,62,22
2024,精神疾患,農業，林業，漁業，鉱業，採石業，砂利採取業,21,19,8
2024,精神疾患,製造業,583,495,161
2024,精神疾患,建設業,192,177,81
2024,精神疾患,運輸業，郵便業,280,287,110
2024,精神疾患,卸売業，小売業,545,497,120
2024,精神疾患,金融業，保険業,78,77,10
2024,精神疾患,教育，学習支援業,130,130,34
2024,精神疾患,医療，福祉,983,862,270
2024,精神疾患,情報通信業,183,175,30
2024,精神疾患,宿泊業，飲食サービス業,169,165,75
2024,精神疾患,サービス業 (ほかに分類されないもの),280,248,61
2024,精神疾患,その他,336,364,96
